Make,Model,Platform / generation number,European / World classification,Production years,American classification,Model Years (US/Canada),Country of origin,Sold in Europe,Sold in North America,Sold in India,Units produced,Notes
Cadillac,Catera,-,,,Mid-size car,MY 1997-2001,United States,no,YES,no,,
Cadillac,CTS,(1st gen),Large car,2002-2007,Mid-size car,MY 2003-2007,United States,Europe,YES,no,,Imported in Europe 2002-2007
Cadillac,CTS,(2nd gen),Large car,2007-2010,Mid-size car,MY 2008-2013,United States,Europe,YES,no,,Imported in Europe 2007-2010
Cadillac,CTS,(3rd gen),,,Mid-size car,MY 2014-____,United States,no,YES,no,,
Cadillac,Series 60,-,,,Mid-size car,MY 1936-1938,United States,no,YES,no,,
Cadillac,Series 61,(1st gen),,,Mid-size car,MY 1939,United States,no,YES,no,,
Cadillac,Series 61,(2nd gen),,,Mid-size car,MY 1941,United States,no,YES,no,,
Cadillac,Series 61,(3rd gen),,,Mid-size car,MY 1942-1947,United States,no,YES,no,,
Cadillac,Series 61,(4th gen),,,Mid-size car,MY 1948-1951,United States,no,YES,no,,
Cadillac,Series 65,-,,,Mid-size car,MY 1937-1938,United States,no,YES,no,,
Cadillac,Series 62,(1st gen),,,Mid-size car,MY 1940-1941,United States,no,YES,no,,
Cadillac,Series 62,(2nd gen),,,Mid-size car,MY 1942-1947,United States,no,YES,no,,
Cadillac,Series 62,(3rd gen),,,Mid-size car,MY 1948-1953,United States,no,YES,no,,
Cadillac,Series 62,(4th gen),,,Mid-size car,MY 1954-1956,United States,no,YES,no,,
Cadillac,Series 62,(5th gen),,,Mid-size car,MY 1957-1958,United States,no,YES,no,,
Cadillac,6200,(1st gen),,,Mid-size car,MY 1959-1960,United States,no,YES,no,,
Cadillac,6200,(2nd gen),,,Mid-size car,MY 1961-1964,United States,no,YES,no,,
Cadillac,Calais,(1st gen),,,Mid-size car,MY 1965-1970,United States,no,YES,no,,
Cadillac,Calais,(2nd gen),,,Mid-size car,MY 1971-1976,United States,no,YES,no,,
Cadillac,Seville,(1st gen),,,Mid-size car,MY 1975-1979,United States,?,YES,no,,
Cadillac,Seville,(2nd gen),,,Mid-size car,MY 1980-1985,United States,?,YES,no,,
Cadillac,Seville,(3rd gen),Luxury car,??-1992,Mid-size car,MY 1986-1991,United States,Europe,YES,no,,
Cadillac,Seville,(4th gen),Luxury car,1992-1997,Mid-size car,MY 1992-1997,United States,Europe,YES,no,,Imported in Europe 1991-1996
Cadillac,Seville,(5th gen),Luxury car,1997-2004,Mid-size car,MY 1998-2004,United States,Europe,YES,no,,Imported in Europe 1997-2004
Cadillac,STS,-,Luxury car,1994-2010,Mid-size car,MY 2005-2011,United States,Europe,YES,no,,Imported in Europe 2004-2010
Cadillac,Sedan de Ville,(1st gen),,,Full-size car,MY 1959-1960,United States,no,YES,no,,
Cadillac,Sedan de Ville,(2nd gen),,,Full-size car,MY 1961-1964,United States,no,YES,no,,
Cadillac,Sedan de Ville,(3rd gen),,,Full-size car,MY 1965-1970,United States,no,YES,no,,
Cadillac,Sedan de Ville,(4th gen),,,Full-size car,MY 1971-1976,United States,no,YES,no,,
Cadillac,Sedan de Ville,(5th gen),,,Full-size car,MY 1977-1984,United States,no,YES,no,,
Cadillac,Sedan de Ville,(6th gen),,,Full-size car,MY 1985-1993,United States,no,YES,no,,
Cadillac,Sedan de Ville,(7th gen),,,Full-size car,MY 1994-1999,United States,no,YES,no,,
Cadillac,Sedan de Ville,(8th gen),,,Full-size car,MY 2000-2005,United States,no,YES,no,,
Cadillac,DTS,-,,,Full-size car,MY 2006-2011,United States,no,YES,no,,
Cadillac,XTS,-,,,Full-size car,MY 2013-____,United States,no,YES,no,,
Cadillac,CT6,-,,,Full-size car,MY 2016-____,United States,no,YES,no,,
Cadillac,Coupe de Ville,(1st gen),,,Full-size car,MY 1959-1960,United States,no,YES,no,,
Cadillac,Coupe de Ville,(2nd gen),,,Full-size car,MY 1961-1964,United States,no,YES,no,,
Cadillac,Coupe de Ville,(3rd gen),,,Full-size car,MY 1965-1970,United States,no,YES,no,,
Cadillac,Coupe de Ville,(4th gen),,,Full-size car,MY 1971-1976,United States,no,YES,no,,
Cadillac,Coupe de Ville,(5th gen),,,Full-size car,MY 1977-1984,United States,no,YES,no,,
Cadillac,Coupe de Ville,(6th gen),,,Full-size car,MY 1985-1993,United States,no,YES,no,,
Cadillac,Series 60 (Sixty Special),(1st gen),,,Full-size car,MY 1938-1941,United States,no,YES,no,,
Cadillac,Series 60 (Sixty Special),(2nd gen),,,Full-size car,MY 1942-1947,United States,no,YES,no,,
Cadillac,Series 60 (Sixty Special),(3rd gen),,,Full-size car,MY 1948-1949,United States,no,YES,no,,
Cadillac,Series 60 (Sixty Special),(4th gen),,,Full-size car,MY 1950-1953,United States,no,YES,no,,
Cadillac,Series 60 (Sixty Special),(5th gen),,,Full-size car,MY 1954-1956,United States,no,YES,no,,
Cadillac,Series 60 (Sixty Special),(6th gen),,,Full-size car,MY 1957-1958,United States,no,YES,no,,
Cadillac,Series 60 (Sixty Special),(7th gen),,,Full-size car,MY 1959-1960,United States,no,YES,no,,
Cadillac,Series 60 (Sixty Special),(8th gen),,,Full-size car,MY 1961-1964,United States,no,YES,no,,
Cadillac,Series 60 (Sixty Special),(9th gen),,,Full-size car,MY 1965-1970,United States,no,YES,no,,
Cadillac,Series 60 (Sixty Special),(10th gen),,,Full-size car,MY 1971-1976,United States,no,YES,no,,
Cadillac,Series 60 (Sixty Special),(11th gen),,,Full-size car,MY 1987-1993,United States,no,YES,no,,
Cadillac,Fleetwood Brougham,-,,,Full-size car,MY 1977-1986,United States,no,YES,no,,
Cadillac,Brougham,-,,,Full-size car,MY 1987-1992,United States,?,YES,no,,
Cadillac,Fleetwood,(1st gen),,,Full-size car,MY 1985-1992,United States,?,YES,no,,Imported in Europe ?-1993
Cadillac,Fleetwood,(2nd gen),Luxury car,??-1993,Full-size car,MY 1993-1996,United States,Europe,YES,no,,
Cadillac,Series 75,(1st gen),,,Full-size car,MY 1936-1937,United States,no,YES,no,,
Cadillac,Series 75,(2nd gen),,,Full-size car,MY 1938-1940,United States,no,YES,no,,
Cadillac,Series 75,(3rd gen),,,Full-size car,MY 1941-1949,United States,no,YES,no,,
Cadillac,Series 75,(4th gen),,,Full-size car,MY 1950-1953,United States,no,YES,no,,
Cadillac,Series 75,(5th gen),,,Full-size car,MY 1954-1956,United States,no,YES,no,,
Cadillac,Series 75,(6th gen),,,Full-size car,MY 1957-1958,United States,no,YES,no,,
Cadillac,Series 75,(7th gen),,,Full-size car,MY 1959-1960,United States,no,YES,no,,
Cadillac,Series 75,(8th gen),,,Full-size car,MY 1961-1965,United States,no,YES,no,,
Cadillac,Series 75,(9th gen),,,Full-size car,MY 1966-1970,United States,no,YES,no,,
Cadillac,Series 75,(10th gen),,,Full-size car,MY 1971-1976,United States,no,YES,no,,
Cadillac,Fleetwood Limousine,-,,,Full-size car,MY 1977-1984,United States,no,YES,no,,
Cadillac,Fleetwood 75,-,,,Full-size car,MY 1985-1987,United States,no,YES,no,,
Cadillac,Eldorado,(1st gen),,,Personal luxury car,MY 1953,United States,no,YES,no,,
Cadillac,Eldorado,(2nd gen),,,Personal luxury car,MY 1954-1956,United States,no,YES,no,,
Cadillac,Eldorado,(3rd gen),,,Personal luxury car,MY 1957-1958,United States,no,YES,no,,
Cadillac,Eldorado,(4th gen),,,Personal luxury car,MY 1959-1960,United States,no,YES,no,,
Cadillac,Eldorado,(5th gen),,,Personal luxury car,MY 1961-1964,United States,no,YES,no,,
Cadillac,Eldorado,(6th gen),,,Personal luxury car,MY 1965-1966,United States,no,YES,no,,
Cadillac,Eldorado,(7th gen),,,Personal luxury car,MY 1967-1970,United States,no,YES,no,,
Cadillac,Eldorado,(8th gen),,,Personal luxury car,MY 1971-1978,United States,no,YES,no,,
Cadillac,Eldorado,(9th gen),,,Personal luxury car,MY 1979-1985,United States,?,YES,no,,
Cadillac,Eldorado,(10th gen),,,Personal luxury car,MY 1986-1991,United States,?,YES,no,,
Cadillac,Eldorado,(11th gen),Luxury car,1993-1996,Personal luxury car,MY 1992-2002,United States,Europe,YES,no,,
Cadillac,XT4,-,,,Compact SUV,MY 2019-____,United States,?,YES,no,,
Cadillac,SRX,(1st gen),,,Mid-size SUV,MY 2004-2009,United States,no,YES,no,,Imported in Europe 2004-2010
Cadillac,SRX,(2nd gen),,,Mid-size SUV,MY 2010-2016,United States,no,YES,no,,
Cadillac,XT5,-,,,Mid-size SUV,MY 2017-____,United States,no,YES,no,,
Cadillac,Escalade,(1st gen),,,Full-size SUV,MY 1999-2000,United States,no,YES,no,,
Cadillac,Escalade,(2nd gen),,,Full-size SUV,MY 2002-2006,United States,no,YES,no,,
Cadillac,Escalade,(3rd gen),Luxury SUV,2007-2009,Full-size SUV,MY 2007-2014,United States,Europe,YES,no,,Imported in Europe 2007-2009
Cadillac,Escalade,(4rd gen),,,Full-size SUV,MY 2015-____,United States,no,YES,no,,Imported in Europe 2007-2009
Cadillac,Allanté,-,Roadster car,??-1993,Roadster car,MY 1987-1993,United States,Europe,YES,no,,Imported in Europe ?-1993
Cadillac,XLR,-,Roadster car,2004-2009,Roadster car,MY 2004-2009,United States,Europe,YES,no,,Imported in Europe 2004-2009
Kia,Picanto,(1st gen - TA),Mini car,2004-2011,,,South Korea,Europe,no,no,,
Kia,Picanto,(2nd gen - SA),Mini car,2011-2017,,,South Korea,Europe,no,no,,
Kia,Picanto,(3rd gen),Mini car,2017-____,,,South Korea,Europe,no,no,,
Kia,Pride,(1st gen),Small car,1986-1995,,,South Korea,no,no,no,,
Kia,Pride,(2nd gen),Small car,1995-2001,,,South Korea,Europe,no,no,,
Kia,Rio,(1st gen - DC),Small car,2000-2005,Subcompact car,MY 2001-2005,South Korea,Europe,YES,no,,
Kia,Rio,(2nd gen - JB),Small car,2005-2011,Subcompact car,MY 2006-2011,South Korea,no,YES,no,,
Kia,Rio,(3rd gen - UB),Small car,2011-2017,Subcompact car,MY 2012-2017,South Korea,no,YES,no,,
Kia,Rio,(4th gen - SC),Small car,2017-____,Subcompact car,MY 2018-____,South Korea,no,YES,no,,
Kia,Soul,(1st gen - AM),Small car,2008-2013,Subcompact car,MY 2010-2013,South Korea,Europe,YES,no,,
Kia,Soul,(2nd gen - PS),Small car,2014-____,Subcompact car,MY 2014-____,South Korea,Europe,YES,no,,
Kia,Avella,-,Compact car,1994-1998,,,South Korea,no,no,no,,
Kia,Cee'd,(1st gen),Compact car,2006-2012,,,South Korea,Europe,no,no,,
Kia,Cee'd,(2nd gen),Compact car,2012-2018,,,South Korea,Europe,no,no,,
Kia,Cee'd,(3rd gen),Compact car,2018-____,,,South Korea,Europe,no,no,,
Kia,Sephia,(1st gen),Compact car,1992-1997,Compact car,MY 1994-1997,South Korea,Europe,YES,no,,
Kia,Sephia,(2nd gen),Compact car,1997-2003,Compact car,MY 1998-2001,South Korea,Europe,YES,no,,
Kia,Cerato / Spectra,(LD),Compact car,2003-2008,Compact car,MY 2005-2009,South Korea,Europe,YES,no,,Sold in North America as Kia Spectra
Kia,Forte,(1st gen - TD),Compact car,2008-2013,Compact car,MY 2010-2013,South Korea,Only Russia,YES,no,,
Kia,Forte / K3,(2nd gen),Compact car,2013-2018,Compact car,MY 2014-2018,South Korea,Only Russia,YES,no,,
Kia,Forte / K3,(3rd gen),Compact car,2018-____,Compact car,MY 2019-____,South Korea,Only Russia,YES,no,,
Kia,Shuma,-,Compact-medium car,1998-2003,,,South Korea,Europe,no,no,,
Kia,Concord,-,Medium car,1987-1995,,,South Korea,no,no,no,,
Kia,Clarus,-,Medium car,1995-2001,,,South Korea,Europe,no,no,,
Kia,Magentis / Optima,(1st gen - MS),Medium car,2001-2006,Mid-size car,MY 2001-2006,South Korea,Europe,YES,no,,Sold in North America as Kia Optima
Kia,Magentis / Optima,(2nd gen - MG),Medium car,2006-2010,Mid-size car,MY 2007-2010,South Korea,Europe,YES,no,,Sold in North America as Kia Optima
Kia,Magentis / Optima / K5,(3rd gen - TF),Medium car,2010-2015,Mid-size car,MY 2011-2015,South Korea,no,YES,no,,Sold in North America as Kia Optima
Kia,Magentis / Optima / K5,(4rd gen - JF),Medium car,2015-____,Mid-size car,MY 2016-____,South Korea,no,YES,no,,Sold in North America as Kia Optima
Kia,Stinger,-,Medium car,2017-____,Mid-size car,MY 2018-____,South Korea,Europe,YES,no,,
Kia,Potentia,(1st gen),Large-luxury car,1992-1997,,,South Korea,no,no,no,,
Kia,Potentia,(2nd gen),Large-luxury car,1997-2002,,,South Korea,no,no,no,,
Kia,Enterprise,-,Large-luxury car,1997-2002,,,South Korea,no,no,no,,
Kia,Opirus / Amanti,-,Large-luxury car,2002-2011,Full-size car,MY 2004-2010,South Korea,Europe,YES,no,,Sold in North America as Kia Amanti
Kia,Cadenza / K7,(1st gen),Large-luxury car,2010-2016,Full-size car,MY 2014-2016,South Korea,no,YES,no,,
Kia,Cadenza / K7,(2nd gen),Large-luxury car,2016-____,Full-size car,MY 2017-____,South Korea,no,YES,no,,
Kia,Quoris / K9 / K900,(1st gen),Luxury car,2012-2018,Full-size car,MY 2015-2018,South Korea,Only Russia,YES,no,,
Kia,Quoris / K9 / K900,(2nd gen),Luxury car,2018-____,Full-size car,MY 2019-____,South Korea,Only Russia,YES,no,,
Kia,Elan,-,Roadster car,1996-1999,,,South Korea,no,no,no,,
Kia,Venga,-,Small MPV,2009-____,,,South Korea,Europe,no,no,,
Kia,Carens,(1st gen),Compact MPV,2001-2006,,,South Korea,Europe,no,no,,
Kia,Carens / Rondo,(2nd gen),Compact MPV,2006-2012,Compact MPV,MY 2007-2012,South Korea,Europe,YES,no,,Sold in North America and Australia as Kia Rondo
Kia,Joice,-,Medium MPV,1999-2002,,,South Korea,Europe,no,no,,
Kia,Carnival / Sedona,(1st gen),Large MPV,1998-2006,Minivan,MY 2002-2005,South Korea,Europe,YES,no,,Sold in North America as Kia Sedona
Kia,Carnival / Sedona,(2nd gen),Large MPV,2006-2014,Minivan,"MY 2006-2012, 2014",South Korea,Europe,YES,no,,Sold in North America as Kia Sedona
Kia,Carnival / Sedona,(3rd gen),Large MPV,2014-____,Minivan,MY 2015-____,South Korea,Europe,YES,no,,Sold in North America as Kia Sedona
Kia,Retona,-,Light off-road vehicle,1998-2003,,,South Korea,Europe,no,no,,
Kia,Stonic,-,Small crossover,2017-____,Subcompact crossover SUV,MY 2018-____,South Korea,Europe,YES,no,,
Kia,Niro,-,Compact crossover,2016-____,Compact crossover SUV,MY 2017-____,South Korea,Europe,YES,no,,
Kia,Sportage,(1st gen - JA),Compact SUV,1995-2002,Compact SUV,MY 1995-2002,South Korea,Europe,YES,no,,
Kia,Sportage,(2nd gen - SE),Compact SUV,2004-2010,Compact SUV,MY 2005-2010,South Korea,Europe,YES,no,,
Kia,Sportage,(3rd gen - SL),Compact SUV,2010-____,Compact SUV,MY 2011-____,South Korea,Europe,YES,no,,
Kia,Sorento,(1st gen - BL),Medium SUV,2002-2009,Mid-size SUV,MY 2003-2009,South Korea,Europe,YES,no,,
Kia,Sorento,(2nd gen - XM),Medium SUV,2009-2015,Mid-size SUV,MY 2011-2015,South Korea,Europe,YES,no,,
Kia,Sorento,(3rd gen - UM),Medium SUV,2015-____,Mid-size SUV,MY 2016-____,South Korea,Europe,YES,no,,
Kia,Mohave / Borrego,-,Large SUV,2008-____,Full-size SUV,MY 2009-2011,South Korea,no,YES,no,,Sold in North America as Kia Borrego
Kia,Bongo,(1st gen),Pickup truck,1980-1997,,,South Korea,no,no,no,,
Kia,Bongo Frontier,(2nd gen),Pickup truck,1997-2004,,,South Korea,no,no,no,,
Kia,Bongo,(3rd gen),Pickup truck,2005-____,,,South Korea,no,no,no,,
Volkswagen,Fusca,-,Economic car,"?-1986, 1993-1996",,,Brazil,no,no,no,,
Volkswagen,Gol,(G1),Small car,1980-1994,,,Brazil,no,no,no,,
Volkswagen,Gol,"(G2, G3, G4)",Small car,1994-2013,,,Brazil,no,no,no,,
Volkswagen,Gol,(G5),Small car,2008-____,,,Brazil,no,no,no,,
Volkswagen,Voyage / Fox,(G1),Small car,1983-1994,Subcompact car,MY 1987-1993,Brazil,no,YES,no,,Sold in North America as Volkswagen Fox
Volkswagen,Voyage,(G5),Small car,2008-____,,,Brazil,no,no,no,,
Volkswagen,Parati,(G1),Small car,1982-1994,,,Brazil,no,no,no,,
Volkswagen,Parati,(G2),Small car,1994-1999,,,Brazil,no,no,no,,
Volkswagen,Fox,-,Small car,2003-____,,,Brazil,no,no,no,,
Volkswagen,Brasilia,-,Compact car,1973-1982,,,Brazil,no,no,no,,
Volkswagen,Apollo,-,Compact car,1990-1992,,,Brazil,no,no,no,,Rebadged Ford Verona
Volkswagen,Logus,-,Compact car,1993-1997,,,Brazil,no,no,no,,
Volkswagen,Pointer,-,Compact car,1994-1996,,,Brazil,no,no,no,,
Volkswagen,Santana,-,Medium car,1984-2006,,,Brazil,no,no,no,,
Volkswagen,Quantum,-,Medium car,1985-2002,,,Brazil,no,no,no,,
Volkswagen,SpaceFox / Suran / SportVan / Fox Plus,-,Small MPV,2006-____,,,Brazil,no,no,no,,
Volkswagen,SP2,-,Sports car,1972-1976,,,Brazil,no,no,no,10205,
Volkswagen,Saveiro,(G1),Pickup,1983-1994,,,Brazil,no,no,no,,
Volkswagen,Saveiro,(G5),Pickup,2008-____,,,Brazil,no,no,no,,
